match_id,date,season,league_code,league,team,opponent,venue,is_home,goals_for,goals_against,goal_difference,result,points,win,draw,loss,scored,clean_sheet,over_2_5,btts,shots_for,shots_against,shots_on_target_for,shots_on_target_against,corners_for,corners_against,fouls_for,fouls_against,yellow_cards,opponent_yellow_cards,red_cards,opponent_red_cards,team_game_number
B1_20150724_StTruiden_ClubBrugge,2015-07-24,1516,B1,Belgian Pro League,St Truiden,Club Brugge,HOME,1,2,1,1,W,3,1,0,0,1,0,1,1,,,,,,,,,,,,,1
B1_20150724_StTruiden_ClubBrugge,2015-07-24,1516,B1,Belgian Pro League,Club Brugge,St Truiden,AWAY,0,1,2,-1,L,0,0,0,1,1,0,1,1,,,,,,,,,,,,,1
B1_20150725_Genk_OudHeverleeLeuven,2015-07-25,1516,B1,Belgian Pro League,Genk,Oud-Heverlee Leuven,HOME,1,3,1,2,W,3,1,0,0,1,0,1,1,,,,,,,,,,,,,1
B1_20150725_Genk_OudHeverleeLeuven,2015-07-25,1516,B1,Belgian Pro League,Oud-Heverlee Leuven,Genk,AWAY,0,1,3,-2,L,0,0,0,1,1,0,1,1,,,,,,,,,,,,,1
B1_20150725_Kortrijk_Standard,2015-07-25,1516,B1,Belgian Pro League,Kortrijk,Standard,HOME,1,2,1,1,W,3,1,0,0,1,0,1,1,,,,,,,,,,,,,1
B1_20150725_Kortrijk_Standard,2015-07-25,1516,B1,Belgian Pro League,Standard,Kortrijk,AWAY,0,1,2,-1,L,0,0,0,1,1,0,1,1,,,,,,,,,,,,,1
B1_20150725_Oostende_Mechelen,2015-07-25,1516,B1,Belgian Pro League,Oostende,Mechelen,HOME,1,3,1,2,W,3,1,0,0,1,0,1,1,,,,,,,,,,,,,1
B1_20150725_Oostende_Mechelen,2015-07-25,1516,B1,Belgian Pro League,Mechelen,Oostende,AWAY,0,1,3,-2,L,0,0,0,1,1,0,1,1,,,,,,,,,,,,,1
B1_20150725_Waregem_Lokeren,2015-07-25,1516,B1,Belgian Pro League,Waregem,Lokeren,HOME,1,3,1,2,W,3,1,0,0,1,0,1,1,,,,,,,,,,,,,1
B1_20150725_Waregem_Lokeren,2015-07-25,1516,B1,Belgian Pro League,Lokeren,Waregem,AWAY,0,1,3,-2,L,0,0,0,1,1,0,1,1,,,,,,,,,,,,,1
B1_20150726_Anderlecht_WaaslandBeveren,2015-07-26,1516,B1,Belgian Pro League,Anderlecht,Waasland-Beveren,HOME,1,3,2,1,W,3,1,0,0,1,0,1,1,,,,,,,,,,,,,1
B1_20150726_Anderlecht_WaaslandBeveren,2015-07-26,1516,B1,Belgian Pro League,Waasland-Beveren,Anderlecht,AWAY,0,2,3,-1,L,0,0,0,1,1,0,1,1,,,,,,,,,,,,,1
B1_20150726_Charleroi_MouscronPeruwelz,2015-07-26,1516,B1,Belgian Pro League,Charleroi,Mouscron-Peruwelz,HOME,1,2,1,1,W,3,1,0,0,1,0,1,1,,,,,,,,,,,,,1
B1_20150726_Charleroi_MouscronPeruwelz,2015-07-26,1516,B1,Belgian Pro League,Mouscron-Peruwelz,Charleroi,AWAY,0,1,2,-1,L,0,0,0,1,1,0,1,1,,,,,,,,,,,,,1
B1_20150726_Westerlo_Gent,2015-07-26,1516,B1,Belgian Pro League,Westerlo,Gent,HOME,1,1,1,0,D,1,0,1,0,1,0,0,1,,,,,,,,,,,,,1
B1_20150726_Westerlo_Gent,2015-07-26,1516,B1,Belgian Pro League,Gent,Westerlo,AWAY,0,1,1,0,D,1,0,1,0,1,0,0,1,,,,,,,,,,,,,1
B1_20150731_Gent_Genk,2015-07-31,1516,B1,Belgian Pro League,Gent,Genk,HOME,1,1,0,1,W,3,1,0,0,1,1,0,0,,,,,,,,,,,,,2
B1_20150731_Gent_Genk,2015-07-31,1516,B1,Belgian Pro League,Genk,Gent,AWAY,0,0,1,-1,L,0,0,0,1,0,0,0,0,,,,,,,,,,,,,2
B1_20150801_ClubBrugge_Mechelen,2015-08-01,1516,B1,Belgian Pro League,Club Brugge,Mechelen,HOME,1,3,0,3,W,3,1,0,0,1,1,1,0,,,,,,,,,,,,,2
B1_20150801_ClubBrugge_Mechelen,2015-08-01,1516,B1,Belgian Pro League,Mechelen,Club Brugge,AWAY,0,0,3,-3,L,0,0,0,1,0,0,1,0,,,,,,,,,,,,,2
B1_20150801_MouscronPeruwelz_StTruiden,2015-08-01,1516,B1,Belgian Pro League,Mouscron-Peruwelz,St Truiden,HOME,1,0,2,-2,L,0,0,0,1,0,0,0,0,,,,,,,,,,,,,2
B1_20150801_MouscronPeruwelz_StTruiden,2015-08-01,1516,B1,Belgian Pro League,St Truiden,Mouscron-Peruwelz,AWAY,0,2,0,2,W,3,1,0,0,1,1,0,0,,,,,,,,,,,,,2
B1_20150801_Oostende_Westerlo,2015-08-01,1516,B1,Belgian Pro League,Oostende,Westerlo,HOME,1,2,1,1,W,3,1,0,0,1,0,1,1,,,,,,,,,,,,,2
B1_20150801_Oostende_Westerlo,2015-08-01,1516,B1,Belgian Pro League,Westerlo,Oostende,AWAY,0,1,2,-1,L,0,0,0,1,1,0,1,1,,,,,,,,,,,,,2
B1_20150801_WaaslandBeveren_Kortrijk,2015-08-01,1516,B1,Belgian Pro League,Waasland-Beveren,Kortrijk,HOME,1,2,1,1,W,3,1,0,0,1,0,1,1,,,,,,,,,,,,,2
B1_20150801_WaaslandBeveren_Kortrijk,2015-08-01,1516,B1,Belgian Pro League,Kortrijk,Waasland-Beveren,AWAY,0,1,2,-1,L,0,0,0,1,1,0,1,1,,,,,,,,,,,,,2
B1_20150802_Lokeren_Charleroi,2015-08-02,1516,B1,Belgian Pro League,Lokeren,Charleroi,HOME,1,2,2,0,D,1,0,1,0,1,0,1,1,,,,,,,,,,,,,2
B1_20150802_Lokeren_Charleroi,2015-08-02,1516,B1,Belgian Pro League,Charleroi,Lokeren,AWAY,0,2,2,0,D,1,0,1,0,1,0,1,1,,,,,,,,,,,,,2
B1_20150802_OudHeverleeLeuven_Anderlecht,2015-08-02,1516,B1,Belgian Pro League,Oud-Heverlee Leuven,Anderlecht,HOME,1,0,2,-2,L,0,0,0,1,0,0,0,0,,,,,,,,,,,,,2
B1_20150802_OudHeverleeLeuven_Anderlecht,2015-08-02,1516,B1,Belgian Pro League,Anderlecht,Oud-Heverlee Leuven,AWAY,0,2,0,2,W,3,1,0,0,1,1,0,0,,,,,,,,,,,,,2
B1_20150802_Standard_Waregem,2015-08-02,1516,B1,Belgian Pro League,Standard,Waregem,HOME,1,2,1,1,W,3,1,0,0,1,0,1,1,,,,,,,,,,,,,2
B1_20150802_Standard_Waregem,2015-08-02,1516,B1,Belgian Pro League,Waregem,Standard,AWAY,0,1,2,-1,L,0,0,0,1,1,0,1,1,,,,,,,,,,,,,2
B1_20150807_Waregem_Genk,2015-08-07,1516,B1,Belgian Pro League,Waregem,Genk,HOME,1,0,0,0,D,1,0,1,0,0,1,0,0,,,,,,,,,,,,,3
B1_20150807_Waregem_Genk,2015-08-07,1516,B1,Belgian Pro League,Genk,Waregem,AWAY,0,0,0,0,D,1,0,1,0,0,1,0,0,,,,,,,,,,,,,3
E1_20150807_Brighton_NottmForest,2015-08-07,1516,E1,Championship,Brighton,Nott'm Forest,HOME,1,1,0,1,W,3,1,0,0,1,1,0,0,18.0,17.0,7.0,3.0,10.0,3.0,16.0,11.0,4.0,2.0,0.0,0.0,1
E1_20150807_Brighton_NottmForest,2015-08-07,1516,E1,Championship,Nott'm Forest,Brighton,AWAY,0,0,1,-1,L,0,0,0,1,0,0,0,0,17.0,18.0,3.0,7.0,3.0,10.0,11.0,16.0,2.0,4.0,0.0,0.0,1
B1_20150808_Kortrijk_Lokeren,2015-08-08,1516,B1,Belgian Pro League,Kortrijk,Lokeren,HOME,1,0,0,0,D,1,0,1,0,0,1,0,0,,,,,,,,,,,,,3
B1_20150808_Kortrijk_Lokeren,2015-08-08,1516,B1,Belgian Pro League,Lokeren,Kortrijk,AWAY,0,0,0,0,D,1,0,1,0,0,1,0,0,,,,,,,,,,,,,3
B1_20150808_Mechelen_MouscronPeruwelz,2015-08-08,1516,B1,Belgian Pro League,Mechelen,Mouscron-Peruwelz,HOME,1,3,1,2,W,3,1,0,0,1,0,1,1,,,,,,,,,,,,,3
B1_20150808_Mechelen_MouscronPeruwelz,2015-08-08,1516,B1,Belgian Pro League,Mouscron-Peruwelz,Mechelen,AWAY,0,1,3,-2,L,0,0,0,1,1,0,1,1,,,,,,,,,,,,,3
B1_20150808_StTruiden_Oostende,2015-08-08,1516,B1,Belgian Pro League,St Truiden,Oostende,HOME,1,1,1,0,D,1,0,1,0,1,0,0,1,,,,,,,,,,,,,3
B1_20150808_StTruiden_Oostende,2015-08-08,1516,B1,Belgian Pro League,Oostende,St Truiden,AWAY,0,1,1,0,D,1,0,1,0,1,0,0,1,,,,,,,,,,,,,3
B1_20150808_Westerlo_OudHeverleeLeuven,2015-08-08,1516,B1,Belgian Pro League,Westerlo,Oud-Heverlee Leuven,HOME,1,3,2,1,W,3,1,0,0,1,0,1,1,,,,,,,,,,,,,3
B1_20150808_Westerlo_OudHeverleeLeuven,2015-08-08,1516,B1,Belgian Pro League,Oud-Heverlee Leuven,Westerlo,AWAY,0,2,3,-1,L,0,0,0,1,1,0,1,1,,,,,,,,,,,,,3
E0_20150808_Bournemouth_AstonVilla,2015-08-08,1516,E0,Premier League,Bournemouth,Aston Villa,HOME,1,0,1,-1,L,0,0,0,1,0,0,0,0,11.0,7.0,2.0,3.0,6.0,3.0,13.0,13.0,3.0,4.0,0.0,0.0,1
E0_20150808_Bournemouth_AstonVilla,2015-08-08,1516,E0,Premier League,Aston Villa,Bournemouth,AWAY,0,1,0,1,W,3,1,0,0,1,1,0,0,7.0,11.0,3.0,2.0,3.0,6.0,13.0,13.0,4.0,3.0,0.0,0.0,1
