match_id,date,understat_date,date_difference_days,season,league,home_team,away_team,game_id,home_xg,away_xg,total_xg,xg_diff_home,home_np_xg,away_np_xg,total_np_xg,np_xg_diff_home,home_expected_points,away_expected_points,expected_points_diff_home,home_ppda,away_ppda,home_deep_completions,away_deep_completions
E0_20150808_Bournemouth_AstonVilla,2015-08-08,2015-08-08,0,1516,Premier League,Bournemouth,Aston Villa,82,0.876106,0.782253,1.658359,0.093853,0.876106,0.782253,1.658359,0.093853,1.3912,1.2481,0.1431,6.9,11.846153846153848,11,2
E0_20150808_Chelsea_Swansea,2015-08-08,2015-08-08,0,1516,Premier League,Chelsea,Swansea,86,0.64396,2.59203,3.23599,-1.94807,0.64396,1.83086,2.47482,-1.1869,0.1835999999999999,2.724,-2.5404,10.363636363636363,8.833333333333334,10,5
E0_20150808_Everton_Watford,2015-08-08,2015-08-08,0,1516,Premier League,Everton,Watford,83,0.604226,0.557892,1.162118,0.0463339999999999,0.604226,0.557892,1.162118,0.0463339999999999,1.3301,1.2362,0.0939000000000001,6.65,17.157894736842106,5,4
E0_20150808_Leicester_Sunderland,2015-08-08,2015-08-08,0,1516,Premier League,Leicester,Sunderland,84,2.56803,1.45946,4.02749,1.1085699999999998,1.80686,1.45946,3.26632,0.3473999999999999,2.1323,0.662,1.4703,10.88,9.555555555555555,5,6
E0_20150808_ManUnited_Tottenham,2015-08-08,2015-08-08,0,1516,Premier League,Man United,Tottenham,81,0.627539,0.6746,1.302139,-0.047061,0.627539,0.6746,1.302139,-0.047061,1.2482,1.3613,-0.1130999999999999,13.826086956521738,8.21875,4,10
E0_20150808_Norwich_CrystalPalace,2015-08-08,2015-08-08,0,1516,Premier League,Norwich,Crystal Palace,85,1.13076,2.10975,3.24051,-0.97899,1.13076,2.10975,3.24051,-0.97899,0.6542,2.1299,-1.4757000000000002,5.7368421052631575,10.625,5,10
E0_20150809_Arsenal_WestHam,2015-08-09,2015-08-09,0,1516,Premier League,Arsenal,West Ham,88,1.33166,0.535961,1.867621,0.795699,1.33166,0.535961,1.867621,0.795699,2.0079,0.7095,1.2983999999999998,8.166666666666666,12.454545454545457,11,0
E0_20150809_Newcastle_Southampton,2015-08-09,2015-08-09,0,1516,Premier League,Newcastle,Southampton,87,1.54613,1.2529,2.79903,0.2932300000000001,1.54613,1.2529,2.79903,0.2932300000000001,1.6323,1.0512,0.5810999999999997,12.72222222222222,7.0,3,5
E0_20150809_Stoke_Liverpool,2015-08-09,2015-08-09,0,1516,Premier League,Stoke,Liverpool,89,0.381274,0.329873,0.711147,0.0514009999999999,0.381274,0.329873,0.711147,0.0514009999999999,1.29,1.1646,0.1253999999999999,11.91304347826087,9.346153846153848,2,5
E0_20150810_WestBrom_ManCity,2015-08-10,2015-08-10,0,1516,Premier League,West Brom,Man City,90,0.435238,1.9242,2.359438,-1.488962,0.435238,1.9242,2.359438,-1.488962,0.3543,2.4759,-2.1216000000000004,23.294117647058822,8.08695652173913,4,8
D1_20150814_BayernMunich_Hamburg,2015-08-14,2015-08-14,0,1516,Bundesliga,Bayern Munich,Hamburg,1021,3.22904,0.154234,3.383274,3.074806,3.22904,0.154234,3.383274,3.074806,2.9417,0.0326,2.9091,4.142857142857143,21.571428571428573,6,3
E0_20150814_AstonVilla_ManUnited,2015-08-14,2015-08-14,0,1516,Premier League,Aston Villa,Man United,91,0.219118,0.660404,0.879522,-0.4412859999999999,0.219118,0.660404,0.879522,-0.4412859999999999,0.7821,1.7526,-0.9705,10.033333333333331,9.5,3,5
D1_20150815_Augsburg_Hertha,2015-08-15,2015-08-15,0,1516,Bundesliga,Augsburg,Hertha,1023,1.14869,1.23291,2.3816,-0.0842199999999999,1.14869,0.475136,1.623826,0.673554,1.2159,1.4727,-0.2568000000000001,9.733333333333333,10.5,3,4
D1_20150815_Darmstadt_Hannover,2015-08-15,2015-08-15,0,1516,Bundesliga,Darmstadt,Hannover,1026,1.80912,1.85731,3.66643,-0.0481899999999999,1.80912,1.09953,2.90865,0.7095900000000002,1.3192,1.3999,-0.0807,6.814814814814815,4.882352941176471,9,3
D1_20150815_Dortmund_Mgladbach,2015-08-15,2015-08-15,0,1516,Bundesliga,Dortmund,M'gladbach,1027,2.42013,0.18521,2.60534,2.23492,2.42013,0.18521,2.60534,2.23492,2.8414,0.091,2.7504,11.464285714285714,20.26315789473684,7,1
D1_20150815_Leverkusen_Hoffenheim,2015-08-15,2015-08-15,0,1516,Bundesliga,Leverkusen,Hoffenheim,1022,3.52773,0.483949,4.011679,3.043781,3.52773,0.483949,4.011679,3.043781,2.8873,0.0691,2.8182,3.342857142857143,4.5588235294117645,10,3
D1_20150815_Mainz_Ingolstadt,2015-08-15,2015-08-15,0,1516,Bundesliga,Mainz,Ingolstadt,1025,0.547769,0.577316,1.125085,-0.0295470000000001,0.547769,0.577316,1.125085,-0.0295470000000001,1.2772,1.294,-0.0167999999999999,4.321428571428571,12.9,4,5
D1_20150815_WerderBremen_Schalke04,2015-08-15,2015-08-15,0,1516,Bundesliga,Werder Bremen,Schalke 04,1024,0.914717,1.4498,2.364517,-0.535083,0.914717,1.4498,2.364517,-0.535083,0.9325,1.7929,-0.8604,8.80952380952381,8.033333333333333,7,7
E0_20150815_Southampton_Everton,2015-08-15,2015-08-15,0,1516,Premier League,Southampton,Everton,92,1.06214,1.39628,2.4584200000000003,-0.3341399999999999,1.06214,1.39628,2.4584200000000003,-0.3341399999999999,1.0453,1.6702,-0.6249,8.826086956521738,15.8125,10,5
E0_20150815_Sunderland_Norwich,2015-08-15,2015-08-15,0,1516,Premier League,Sunderland,Norwich,93,0.329128,1.71686,2.045988,-1.3877320000000002,0.329128,1.71686,2.045988,-1.3877320000000002,0.3375,2.478,-2.1405,10.181818181818182,10.666666666666666,2,6
E0_20150815_Swansea_Newcastle,2015-08-15,2015-08-15,0,1516,Premier League,Swansea,Newcastle,94,1.97424,0.113109,2.087349,1.861131,1.97424,0.113109,2.087349,1.861131,2.8267,0.0961,2.7306,6.235294117647059,34.333333333333336,4,0
E0_20150815_Tottenham_Stoke,2015-08-15,2015-08-15,0,1516,Premier League,Tottenham,Stoke,95,1.70614,2.80956,4.5157,-1.1034199999999998,1.70614,2.04843,3.75457,-0.3422900000000002,0.6767,2.1308,-1.4541,10.125,11.607142857142858,1,5
E0_20150815_Watford_WestBrom,2015-08-15,2015-08-15,0,1516,Premier League,Watford,West Brom,96,0.760848,0.684036,1.444884,0.0768119999999999,0.760848,0.684036,1.444884,0.0768119999999999,1.3677,1.2504,0.1173000000000001,5.9523809523809526,11.5,3,4
E0_20150815_WestHam_Leicester,2015-08-15,2015-08-15,0,1516,Premier League,West Ham,Leicester,97,0.513491,1.80939,2.322881,-1.295899,0.513491,1.80939,2.322881,-1.295899,0.3156,2.5134,-2.1978,6.375,15.045454545454543,10,5
D1_20150816_Stuttgart_FCKoln,2015-08-16,2015-08-16,0,1516,Bundesliga,Stuttgart,FC Koln,1029,2.98558,1.85087,4.83645,1.13471,2.22781,1.0931,3.32091,1.13471,2.139,0.6534,1.4856000000000005,5.928571428571429,14.2,11,4
D1_20150816_Wolfsburg_EinFrankfurt,2015-08-16,2015-08-16,0,1516,Bundesliga,Wolfsburg,Ein Frankfurt,1028,0.740041,0.950098,1.6901389999999998,-0.210057,0.740041,0.950098,1.6901389999999998,-0.210057,1.1501,1.4879000000000002,-0.3378000000000001,7.666666666666667,11.242424242424242,4,6
E0_20150816_CrystalPalace_Arsenal,2015-08-16,2015-08-16,0,1516,Premier League,Crystal Palace,Arsenal,98,0.964134,2.05542,3.019554,-1.0912859999999998,0.964134,2.05542,3.019554,-1.0912859999999998,0.6022000000000001,2.1865,-1.5843,11.708333333333334,6.965517241379311,5,15
E0_20150816_ManCity_Chelsea,2015-08-16,2015-08-16,0,1516,Premier League,Man City,Chelsea,99,2.18579,0.482423,2.668213,1.703367,2.18579,0.482423,2.668213,1.703367,2.5817,0.2792,2.3025,5.727272727272728,6.620689655172414,15,6
E0_20150817_Liverpool_Bournemouth,2015-08-17,2015-08-17,0,1516,Premier League,Liverpool,Bournemouth,100,2.15062,0.460805,2.611425,1.6898149999999998,2.15062,0.460805,2.611425,1.6898149999999998,2.5810000000000004,0.2779,2.3031000000000006,6.413793103448276,10.0,9,6
D1_20150821_Hertha_WerderBremen,2015-08-21,2015-08-21,0,1516,Bundesliga,Hertha,Werder Bremen,1030,0.494279,0.957641,1.45192,-0.4633619999999999,0.494279,0.957641,1.45192,-0.4633619999999999,0.7781,1.8833,-1.1052000000000002,8.909090909090908,6.805555555555555,5,4
D1_20150822_EinFrankfurt_Augsburg,2015-08-22,2015-08-22,0,1516,Bundesliga,Ein Frankfurt,Augsburg,1033,0.945278,1.26112,2.206398,-0.315842,0.945278,1.26112,2.206398,-0.315842,1.0993,1.5781,-0.4788000000000001,5.866666666666666,6.242424242424242,8,5
D1_20150822_FCKoln_Wolfsburg,2015-08-22,2015-08-22,0,1516,Bundesliga,FC Koln,Wolfsburg,1034,1.37825,2.14017,3.51842,-0.7619199999999999,1.37825,2.14017,3.51842,-0.7619199999999999,0.7962,1.9572,-1.161,14.74074074074074,4.769230769230769,6,4
D1_20150822_Hamburg_Stuttgart,2015-08-22,2015-08-22,0,1516,Bundesliga,Hamburg,Stuttgart,1036,1.32114,1.89549,3.21663,-0.5743499999999999,1.32114,1.89549,3.21663,-0.5743499999999999,0.9112,1.8355,-0.9243,5.481481481481482,3.696428571428572,9,3
D1_20150822_Hannover_Leverkusen,2015-08-22,2015-08-22,0,1516,Bundesliga,Hannover,Leverkusen,1035,0.0975496,1.37365,1.4711996,-1.2761004,0.0975496,1.37365,1.4711996,-1.2761004,0.2477,2.5562,-2.3085,16.5,3.7857142857142856,1,4
D1_20150822_Hoffenheim_BayernMunich,2015-08-22,2015-08-22,0,1516,Bundesliga,Hoffenheim,Bayern Munich,1031,1.29953,2.53588,3.83541,-1.23635,0.541751,2.53588,3.077631,-1.994129,0.5648,2.237,-1.6722,14.037037037037036,4.227272727272728,2,13
D1_20150822_Schalke04_Darmstadt,2015-08-22,2015-08-22,0,1516,Bundesliga,Schalke 04,Darmstadt,1032,1.05775,0.790379,1.848129,0.2673709999999999,1.05775,0.790379,1.848129,0.2673709999999999,1.5468,1.122,0.4248,2.473684210526316,18.4,7,0
E0_20150822_CrystalPalace_AstonVilla,2015-08-22,2015-08-22,0,1516,Premier League,Crystal Palace,Aston Villa,104,1.23807,0.765278,2.003348,0.472792,1.23807,0.765278,2.003348,0.472792,1.7320000000000002,0.9601,0.7719000000000003,8.166666666666666,8.476190476190476,9,6
E0_20150822_Leicester_Tottenham,2015-08-22,2015-08-22,0,1516,Premier League,Leicester,Tottenham,105,0.829012,1.89437,2.723382,-1.0653580000000002,0.829012,1.89437,2.723382,-1.0653580000000002,0.583,2.1979,-1.6148999999999998,15.578947368421051,4.947368421052632,5,5
E0_20150822_ManUnited_Newcastle,2015-08-22,2015-08-22,0,1516,Premier League,Man United,Newcastle,101,1.2491,0.4384,1.6875,0.8107000000000001,1.2491,0.4384,1.6875,0.8107000000000001,2.0587,0.6493,1.4094,4.709677419354839,18.4375,12,1
E0_20150822_Norwich_Stoke,2015-08-22,2015-08-22,0,1516,Premier League,Norwich,Stoke,102,3.14888,0.698228,3.847108,2.4506520000000003,3.14888,0.698228,3.847108,2.4506520000000003,2.7779,0.1481,2.6298,9.633333333333333,10.928571428571429,4,2
E0_20150822_Sunderland_Swansea,2015-08-22,2015-08-22,0,1516,Premier League,Sunderland,Swansea,103,0.569426,1.56064,2.130066,-0.991214,0.569426,1.56064,2.130066,-0.991214,0.6088,2.1481,-1.5393,10.10344827586207,8.578947368421053,2,4
E0_20150822_WestHam_Bournemouth,2015-08-22,2015-08-22,0,1516,Premier League,West Ham,Bournemouth,106,1.50203,2.8554,4.35743,-1.35337,0.740861,2.09423,2.835091,-1.353369,0.488,2.3363,-1.8483,9.909090909090908,10.72222222222222,3,7
D1_20150823_Ingolstadt_Dortmund,2015-08-23,2015-08-23,0,1516,Bundesliga,Ingolstadt,Dortmund,1037,0.0514071,3.63386,3.6852671,-3.5824529,0.0514071,2.87608,2.9274871,-2.8246729,0.0121999999999999,2.978,-2.9658,9.28125,4.357142857142857,1,15
D1_20150823_Mgladbach_Mainz,2015-08-23,2015-08-23,0,1516,Bundesliga,M'gladbach,Mainz,1038,1.22742,2.01071,3.23813,-0.78329,1.22742,2.01071,3.23813,-0.78329,0.8179,1.9555,-1.1376,5.852941176470588,15.02777777777778,1,2
